,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
40,2020/03/24 11:57:42 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
41,2020/03/24 11:58:00 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ;Другой,"Не пользуюсь, не хочу открывать",5.0
42,2020/03/24 11:58:08 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
43,2020/03/24 11:58:16 PM GMT+3,18-20,"Стипендия;Доход от инвестиций (вклады, ценные бумаги и т.д.);Другое",Сбербанк;ВТБ;Другой,"Пользуюсь, буду продолжать",3.0
44,2020/03/24 11:58:16 PM GMT+3,21-23,Зарплата,Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
45,2020/03/24 11:58:25 PM GMT+3,18-20,Зарплата,Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",2.0
46,2020/03/24 11:58:27 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
47,2020/03/24 11:58:35 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",ВТБ;Альфа-Банк,"Пользуюсь, буду продолжать",2.0
48,2020/03/24 11:59:16 PM GMT+3,18-20,"Стипендия;Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",6.0
49,2020/03/25 12:00:21 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
50,2020/03/25 12:00:39 AM GMT+3,24-26,"Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.;Другое",РокетБанк,"Не пользуюсь, не хочу открывать",1.0
51,2020/03/25 12:00:55 AM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
52,2020/03/25 12:01:28 AM GMT+3,18-20,"Стипендия;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",3.0
53,2020/03/25 12:01:52 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",ВТБ;Другой,"Пользуюсь, буду продолжать",2.0
54,2020/03/25 12:02:36 AM GMT+3,18-20,Стипендия,Сбербанк;Тинькофф;ВТБ,"Пользуюсь, буду продолжать",3.0
55,2020/03/25 12:03:59 AM GMT+3,21-23,Стипендия;Зарплата,Сбербанк;ВТБ,"Пользуюсь, буду продолжать",2.0
56,2020/03/25 12:04:48 AM GMT+3,18-20,Стипендия,Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
57,2020/03/25 12:04:56 AM GMT+3,меньше,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",3.0
58,2020/03/25 12:05:19 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Другой,"Не пользуюсь, не хочу открывать",3.0
59,2020/03/25 12:05:49 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",2.0
60,2020/03/25 12:07:36 AM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",4.0
61,2020/03/25 12:08:27 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
62,2020/03/25 12:08:48 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",ВТБ,"Не пользуюсь, не хочу открывать",1.0
63,2020/03/25 12:10:16 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",2.0
64,2020/03/25 12:12:03 AM GMT+3,24-26,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",5.0
65,2020/03/25 12:12:09 AM GMT+3,24-26,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
66,2020/03/25 12:12:57 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Райффайзен банк,"Не пользуюсь, не хочу открывать",3.0
67,2020/03/25 12:14:03 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Пользуюсь, буду продолжать",2.0
